bloque,serie,ventana,desde,hasta,n,media_pct_mes,t_nw6,ic95_inf,ic95_sup,veredicto,media_x12,cagr_o_difcagr
BigHigh-Mkt,Emerging,W0,199001,202608,440,0.330341,3.742368,0.157334,0.503348,apoyo,3.964091,3.809699
BigHigh-Mkt,Emerging,W1,200001,202512,312,0.297212,3.146671,0.112088,0.482335,apoyo,3.566538,3.438128
BigHigh-Mkt,Emerging,W2,201001,202512,192,0.359896,3.364382,0.150234,0.569558,apoyo,4.318750,4.230704
BigHigh-Mkt,Emerging,AMP13-post,201307,202608,158,0.387468,2.401537,0.071244,0.703693,apoyo,4.649620,4.443242
ETF-dif,EEMO_vs_EEM,base,201604,202608,125,-0.046119,-0.181464,-0.544242,0.452004,inconcluso,-0.553427,-1.317859
ETF-dif,EEMO_vs_EEM,sens_spread_0.30,201604,202608,125,-0.046119,-0.181464,-0.544242,0.452004,inconcluso,-0.553427,-1.348972
ETF-dif,EEMO_vs_EEM,sens_retencion_30,201604,202608,125,-0.079890,-0.310523,-0.584140,0.424360,inconcluso,-0.958676,-1.795210
ETF-dif,EEMO_vs_EEM,comun_2016_04,201604,202608,125,-0.046119,-0.181464,-0.544242,0.452004,inconcluso,-0.553427,-1.317859
ETF-dif,PIE_vs_EEM,base,200802,202608,223,-0.019532,-0.100090,-0.402006,0.362942,inconcluso,-0.234383,-0.787864
ETF-dif,PIE_vs_EEM,sens_spread_0.30,200802,202608,223,-0.019532,-0.100090,-0.402006,0.362942,inconcluso,-0.234383,-0.805062
ETF-dif,PIE_vs_EEM,sens_retencion_30,200802,202608,223,-0.002060,-0.010566,-0.384096,0.379977,inconcluso,-0.024715,-0.571607
ETF-dif,PIE_vs_EEM,comun_2016_04,201604,202608,125,0.120589,0.496759,-0.355194,0.596372,inconcluso,1.447066,1.163403
ETF-dif,IMTM_vs_EFA,base,201502,202608,139,0.069745,0.540259,-0.183279,0.322769,inconcluso,0.836945,1.037485
ETF-dif,IMTM_vs_EFA,sens_spread_0.30,201502,202608,139,0.069745,0.540259,-0.183279,0.322769,inconcluso,0.836945,1.008785
ETF-dif,IMTM_vs_EFA,sens_retencion_30,201502,202608,139,0.075337,0.576040,-0.180996,0.331670,inconcluso,0.904046,1.109474
ETF-dif,IMTM_vs_EFA,comun_2016_04,201604,202608,125,0.069757,0.501771,-0.202721,0.342236,inconcluso,0.837087,0.991681
ETF-dif,IMTM_vs_VEA,base,201502,202608,139,0.000540,0.004176,-0.253011,0.254092,inconcluso,0.006483,0.219972
