tabla,fila,campo,tipo,reportado,propio,dif,tolerancia,ok,exacto_al_redondeo
9. Afirmaciones recibidas,VAR Lo 10 - Mkt 2000-2025,Dif. CAGR,dif,1.07,1.070402,0.000402,0.1,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Mkt 2000-2025,t,t,0.18,0.183174,0.003174,0.05,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Mkt 2000-2025,IC NW lo,ic,-0.318,-0.318049,-0.000049,0.01,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Mkt 2000-2025,IC NW hi,ic,0.384,0.383626,-0.000374,0.01,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Mkt 2000-ult,n,n,319,319,0.0,0,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Mkt 2000-ult,x12,x12,−0.07,-0.071097,-0.001097,0.12,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Mkt 2000-ult,Dif. CAGR,dif,0.57,0.566730,-0.003270,0.1,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Mkt 2000-ult,t,t,−0.03,-0.032788,-0.002788,0.05,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Mkt 2000-ult,IC NW lo,ic,-0.360,-0.360087,-0.000087,0.01,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Mkt 2000-ult,IC NW hi,ic,0.348,0.348238,0.000238,0.01,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-2025,n,n,312,312,0.0,0,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-2025,x12,x12,6.02,6.023077,0.003077,0.12,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-2025,Dif. CAGR,dif,12.35,12.353839,0.003839,0.1,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-2025,t,t,0.89,0.890751,0.000751,0.05,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-2025,IC NW lo,ic,-0.602,-0.602484,-0.000484,0.01,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-2025,IC NW hi,ic,1.606,1.606330,0.000330,0.01,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-ult,n,n,319,319,0.0,0,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-ult,x12,x12,**3.53**,3.532665,0.002665,0.12,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-ult,Dif. CAGR,dif,10.26,10.260352,0.000352,0.1,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-ult,t,t,0.50,0.500959,0.000959,0.05,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-ult,IC NW lo,ic,-0.857,-0.857385,-0.000385,0.01,True,True
9. Afirmaciones recibidas,VAR Lo 10 - Hi 10 2000-ult,IC NW hi,ic,1.446,1.446162,0.000162,0.01,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-2025,n,n,312,312,0.0,0,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-2025,x12,x12,1.79,1.786923,-0.003077,0.12,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-2025,Dif. CAGR,dif,2.38,2.380668,0.000668,0.1,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-2025,t,t,1.07,1.065265,-0.004735,0.05,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-2025,IC NW lo,ic,-0.125,-0.125067,-0.000067,0.01,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-2025,IC NW hi,ic,0.423,0.422888,-0.000112,0.01,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-ult,n,n,319,319,0.0,0,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-ult,x12,x12,1.36,1.356489,-0.003511,0.12,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-ult,Dif. CAGR,dif,1.92,1.916425,-0.003575,0.1,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-ult,t,t,0.79,0.791223,0.001223,0.05,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-ult,IC NW lo,ic,-0.167,-0.166976,0.000024,0.01,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Mkt 2000-ult,IC NW hi,ic,0.393,0.393058,0.000058,0.01,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-2025,n,n,312,312,0.0,0,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-2025,x12,x12,6.26,6.263462,0.003462,0.12,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-2025,Dif. CAGR,dif,12.10,12.104274,0.004274,0.1,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-2025,t,t,0.98,0.979213,-0.000787,0.05,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-2025,IC NW lo,ic,-0.523,-0.522775,0.000225,0.01,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-2025,IC NW hi,ic,1.567,1.566686,-0.000314,0.01,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-ult,n,n,319,319,0.0,0,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-ult,x12,x12,4.65,4.648025,-0.001975,0.12,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-ult,Dif. CAGR,dif,10.76,10.758815,-0.001185,0.1,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-ult,t,t,0.72,0.716186,-0.003814,0.05,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-ult,IC NW lo,ic,-0.673,-0.672673,0.000327,0.01,True,True
9. Afirmaciones recibidas,RESVAR Lo 10 - Hi 10 2000-ult,IC NW hi,ic,1.447,1.447344,0.000344,0.01,True,True
texto,Resumen 2,LO 2000-2025 x12 minimo,x12,0.8,0.839615,0.039615,0.12,True,True
texto,Resumen 2,LO 2000-2025 x12 maximo,x12,2.1,2.094231,-0.005769,0.12,True,True
texto,Resumen 2,LO post x12 minimo,x12,0.15,0.146939,-0.003061,0.12,True,True
texto,Resumen 2,LO post x12 maximo,x12,0.72,0.717333,-0.002667,0.12,True,True
texto,Conclusion 3,LO 2000-2025 t minima,t,0.52,0.519509,-0.000491,0.05,True,True
texto,Conclusion 3,LO 2000-2025 t maxima,t,1.42,1.423227,0.003227,0.05,True,True
texto,Resumen 3 / Controles,RMW 2000-ult x12,x12,4.48,4.476489,-0.003511,0.12,True,True
texto,Resumen 3 / Controles,RMW 2000-ult t,t,2.28,2.275034,-0.004966,0.05,True,True
texto,Controles,RMW 2000-2025 x12,x12,4.76,4.761538,0.001538,0.12,True,True
texto,Controles,RMW 2000-2025 t,t,2.43,2.426429,-0.003571,0.05,True,True
texto,Seccion 9 (Recompras),NI-LS-VW 2000-ult IC lo,ic,0.010,0.009890,-0.000110,0.01,True,True
texto,Seccion 9 (Recompras),NI-LS-VW 2000-ult IC hi,ic,0.872,0.872054,0.000054,0.01,True,True
texto,Resumen 5 / Seccion 9,VAR-LO-VW 2000-2025 Dif. CAGR,dif,1.49,1.485453,-0.004547,0.1,True,True
texto,Resumen 6 / Conclusion 8,NI-LS-EW post x12,x12,10.70,10.698630,-0.001370,0.12,True,True
texto,Resumen 6 / Conclusion 8,NI-LS-EW post t,t,2.63,2.629636,-0.000364,0.05,True,True
texto,Resumen 7 / Conclusion 7,VAR-LO 2000-2025 USD vol cartera,vol,11.9,11.879723,-0.020277,0.1,True,True
texto,Resumen 7 / Conclusion 7,VAR-LO 2000-2025 USD vol mercado,vol,15.7,15.669382,-0.030618,0.1,True,True
texto,Resumen 7 / Conclusion 7,VAR-LO 2000-2025 USD MDD cartera,mdd,-36.5,-36.499362,0.000638,0.1,True,True
texto,Resumen 7 / Conclusion 7,VAR-LO 2000-2025 USD MDD mercado,mdd,-50.3,-50.311707,-0.011707,0.1,True,True
texto,Resumen 7 / Conclusion 7,VAR-LO 2000-2025 MXN MDD cartera,mdd,-17.0,-17.022540,-0.022540,0.1,True,True
texto,Resumen 7 / Conclusion 7,VAR-LO 2000-2025 MXN MDD mercado,mdd,-39.9,-39.862731,0.037269,0.1,True,True
texto,Seccion 10,pruebas registradas,n,103,103,0.0,0,True,True
texto,Seccion 10,pruebas con apoyo,n,25,25,0.0,0,True,True
texto,Seccion 10 / Resumen 1,primarias con apoyo (de 16),n,0,0,0.0,0,True,True
texto,Seccion 10 / Resumen 1,MXN con apoyo (de 15),n,0,0,0.0,0,True,True
texto,Seccion 10,unica serie con apoyo en post,categoria,NI-LS-EW,NI-LS-EW,,igual,True,True
texto,Tabla 1 (nota),pruebas contrarias,n,0,0,0.0,0,True,True
texto,Controles,faltantes -99.99/-999 en series usadas,n,0,0,0.0,0,True,True
texto,Tabla 1 (nota),inicio de todas las series,categoria,196307,196307,,igual,True,True
texto,Datos,rango Mkt (FF3),categoria,192607-202607,192607-202607,,igual,True,True
texto,Datos,rango DEXMXUS,categoria,1993-11-08..2026-09-18,1993-11-08..2026-09-18,,igual,True,True
texto,Seccion 9 (criterio),coincidencias 'Rentables 4.5%',categoria,RMW 2000-2025 x12; RMW 2000-ult x12; OP-LS-VW 2000-ult x12,RMW 2000-2025 x12; RMW 2000-ult x12; OP-LS-VW 2000-ult x12,,igual,True,True
texto,Seccion 9 (criterio),coincidencias 'Recompras 5.3%',categoria,NI-LS-VW 2000-ult x12,NI-LS-VW 2000-ult x12,,igual,True,True
texto,Seccion 9 (criterio),coincidencias 'Baja volatilidad 3.6%',categoria,ninguna,ninguna,,igual,True,True
