rango_general,rango_filtrado,ticker,categoria,etiqueta,moneda,bolsa,fecha_ultimo,obs,precio_local,precio,ret_1m,ret_3m,ret_6m,ret_12_1,ret_12m,vol_60d,dist_sma200,sobre_sma200,dd_max_1a,dist_max_52s,ratio_6m_vol,rango_3m,rango_6m,rango_12_1,momentum_compuesto,ret_3m_local,ret_6m_local,dist_sma200_local,subyacente,subyacente_sobre_sma200_local,max_salto_diario,estado,nota
42,39,JPM,accion_eua,Banca,USD,NYQ,2026-09-24,501,338.559998,5998.866414,-0.007225,0.025255,0.164419,0.06615,0.058447,0.181723,0.077531,True,-0.160654,-0.037311,0.904778,37.0,33.0,43.0,37.666667,0.019899,0.169034,0.060051,,,0.051199,ok,
43,40,IWM,indice_eua,Russell 2000,USD,PCX,2026-09-24,501,281.660004,4990.668562,-0.009564,-0.043181,0.133329,0.1432,0.132267,0.116207,0.044185,True,-0.088419,-0.047665,1.147344,55.0,36.0,28.0,39.666667,-0.04818,0.137821,0.026998,,,0.032521,ok,
44,41,DIA,indice_eua,Dow Jones,USD,PCX,2026-09-24,500,512.679993,9084.058399,0.006307,-0.00267,0.115212,0.078171,0.084971,0.103954,0.045477,True,-0.07925,-0.026324,1.108303,44.0,37.0,40.0,40.333333,-0.007881,0.119633,0.028832,,,0.021938,ok,
45,42,XLF,sector_eua,Financiero,USD,PCX,2026-09-24,501,54.529999,966.204456,-0.017713,0.024021,0.109941,0.011292,-0.006621,0.133593,0.039475,True,-0.142779,-0.035052,0.822953,38.0,38.0,45.0,40.333333,0.018671,0.11434,0.022887,,,0.030252,ok,
46,43,XLC,sector_eua,Comunicaciones,USD,PCX,2026-09-24,500,113.989998,2019.762449,0.064093,0.079091,0.02772,-0.112061,-0.05515,0.218919,0.022171,True,-0.144324,-0.060659,0.126622,22.0,44.0,56.0,40.666667,0.073453,0.031793,0.006528,,,0.037266,ok,
47,,EWW,internacional,Mexico,USD,PCX,2026-09-24,500,72.510002,1284.787983,-0.017793,-0.012186,0.011407,0.10433,0.084681,0.130288,-0.016831,False,-0.100043,-0.064649,0.087553,46.0,48.0,32.0,42.0,-0.017347,0.015416,-0.032569,,,0.036526,ok,
48,44,XLI,sector_eua,Industrial,USD,PCX,2026-09-24,500,168.830002,2991.459815,-0.011667,-0.055697,0.030672,0.091078,0.078348,0.146431,0.003695,True,-0.106136,-0.074006,0.209467,57.0,43.0,37.0,45.666667,-0.060631,0.034758,-0.012377,,,0.036777,ok,
49,,NAFTRAC.MX,bmv,IPC (ETF),MXN,YHD,2026-09-23,499,64.010002,64.010002,-0.021852,-0.026599,-0.005143,0.094177,0.070267,0.127577,-0.031951,False,-0.105049,-0.084468,-0.040311,51.0,51.0,35.0,45.666667,-0.026599,-0.005143,-0.031951,,,0.035724,ok,ultimo dato 2026-09-23 < corte
50,45,XLP,sector_eua,Consumo basico,USD,PCX,2026-09-24,500,81.699997,1447.623379,-0.017234,-0.020971,0.016903,0.045875,0.027851,0.180013,0.006139,True,-0.094207,-0.049748,0.093899,48.0,46.0,44.0,46.0,-0.026086,0.020934,-0.009788,,,0.029796,ok,
51,46,HYG,bonos,High yield EUA,USD,PCX,2026-09-24,500,77.889999,1380.114912,0.026923,-0.00467,0.009897,-0.046662,-0.020996,0.050857,0.011394,True,-0.064647,-0.032222,0.1946,45.0,49.0,47.0,47.0,-0.00987,0.0139,-0.004273,,,0.019489,ok,
52,,FXI,internacional,China large cap,USD,PCX,2026-09-24,500,34.240002,606.690683,0.006549,0.063653,-0.027705,-0.178965,-0.173588,0.16943,-0.040206,False,-0.26851,-0.196665,-0.163519,30.0,53.0,60.0,47.666667,0.058096,-0.023851,-0.054744,,,0.046556,ok,
53,,AVGO,accion_eua,Semis,USD,NMS,2026-09-24,501,350.359985,6207.947673,0.022449,-0.076501,0.100146,-0.021808,0.000151,0.385701,-0.030309,False,-0.300017,-0.251712,0.259648,61.0,40.0,46.0,49.0,-0.081326,0.104507,-0.046039,,,0.137528,ok,
54,,XLY,sector_eua,Consumo discrecional,USD,PCX,2026-09-24,500,110.32,1954.734599,-0.02329,-0.034122,0.006072,-0.086069,-0.107354,0.179371,-0.035914,False,-0.147161,-0.120387,0.033849,52.0,50.0,52.0,51.333333,-0.039168,0.010059,-0.050748,,,0.040087,ok,
55,,TSLA,accion_eua,Autos/IA,USD,NMS,2026-09-24,501,377.940002,6696.631627,0.13188,0.011703,-0.017184,-0.274972,-0.179355,0.526831,-0.031174,False,-0.407587,-0.23867,-0.032618,40.0,52.0,63.0,51.666667,0.006418,-0.013289,-0.045508,,,0.149787,ok,
56,,INDA,internacional,India,USD,BTS,2026-09-24,500,47.560001,842.704681,0.007153,-0.036676,0.021173,-0.139132,-0.132974,0.110975,-0.035509,False,-0.199847,-0.17373,0.190795,53.0,45.0,58.0,52.0,-0.041709,0.025221,-0.050156,,,0.03248,ok,
57,,CEMEXCPO.MX,bmv,Cemento,MXN,MEX,2026-09-24,501,16.950001,16.950001,-0.094265,-0.195045,-0.11839,0.140841,0.0333,0.243491,-0.17939,False,-0.27173,-0.27173,-0.48622,67.0,63.0,29.0,53.0,-0.195045,-0.11839,-0.17939,,,0.1015,ok,
58,,IEF,bonos,Tesoro EUA 7-10,USD,NGM,2026-09-24,500,89.690002,1589.196441,0.011376,-0.03837,-0.038941,-0.081276,-0.070824,0.055948,-0.023616,False,-0.116433,-0.090851,-0.696017,54.0,56.0,51.0,53.666667,-0.043394,-0.035131,-0.038573,,,0.02035,ok,
59,,AMXB.MX,bmv,Telecom,MXN,MEX,2026-09-24,501,19.6,19.6,-0.030663,-0.137641,-0.101302,0.097923,0.064258,0.178272,-0.061918,False,-0.184769,-0.170808,-0.568244,66.0,62.0,33.0,53.666667,-0.137641,-0.101302,-0.061918,,,0.077396,ok,
60,,COST,accion_eua,Consumo basico,USD,NMS,2026-09-24,500,896.47998,15884.521753,-0.035542,-0.060836,-0.080263,-0.049049,-0.082847,0.220369,-0.049411,False,-0.197058,-0.164084,-0.364222,59.0,60.0,48.0,55.666667,-0.065743,-0.076618,-0.064301,,,0.043681,ok,
61,,KWEB,internacional,Internet China,USD,PCX,2026-09-24,500,24.690001,437.476418,-0.017047,0.021386,-0.130392,-0.383508,-0.394018,0.246434,-0.15035,False,-0.445927,-0.413288,-0.529113,39.0,65.0,66.0,56.666667,0.016049,-0.126945,-0.162539,,,0.064493,ok,
62,,TLT,bonos,Tesoro EUA 20+,USD,NGM,2026-09-24,501,79.419998,1407.224607,0.009165,-0.075726,-0.058743,-0.110674,-0.102523,0.089769,-0.04265,False,-0.157752,-0.136362,-0.654379,60.0,59.0,55.0,58.0,-0.080555,-0.055012,-0.057485,,,0.024777,ok,
63,,UBER,accion_eua,Plataformas,USD,NYQ,2026-09-24,501,69.220001,1226.493217,-0.087666,-0.057772,-0.046907,-0.253967,-0.319369,0.36416,-0.066143,False,-0.374748,-0.334844,-0.128809,58.0,57.0,62.0,59.0,-0.062695,-0.04313,-0.080331,,,0.074119,ok,
64,,NFLX,accion_eua,Medios,USD,NMS,2026-09-24,501,71.720001,1270.79014,-0.063222,0.003573,-0.214289,-0.3886,-0.427254,0.376901,-0.14205,False,-0.485257,-0.444751,-0.568555,42.0,68.0,67.0,59.0,-0.00167,-0.211175,-0.154653,,,0.131075,ok,
65,,XLU,sector_eua,Servicios publicos,USD,PCX,2026-09-24,500,39.360001,697.410762,-0.041278,-0.124777,-0.118539,-0.058594,-0.097453,0.147545,-0.088519,False,-0.165534,-0.163934,-0.803412,65.0,64.0,49.0,59.333333,-0.12935,-0.115046,-0.102584,,,0.031419,ok,
66,,URA,materias_primas,Uranio,USD,PCX,2026-09-24,500,40.860001,723.988915,-0.065416,-0.081516,-0.155454,-0.093608,-0.152901,0.412935,-0.139264,False,-0.383301,-0.318734,-0.37646,62.0,66.0,53.0,60.333333,-0.086315,-0.152106,-0.152726,,,0.093004,ok,
67,,ORCL,accion_eua,Software/nube,USD,NYQ,2026-09-24,501,139.539993,2472.476918,0.02371,-0.106451,-0.048475,-0.57029,-0.560102,0.528419,-0.137407,False,-0.648155,-0.567311,-0.091737,63.0,58.0,68.0,63.0,-0.111119,-0.044704,-0.150276,,,0.121932,ok,
68,,WALMEX.MX,bmv,Comercio,MXN,MEX,2026-09-24,501,45.919998,45.919998,-0.019432,-0.108003,-0.182191,-0.151946,-0.168425,0.201092,-0.141513,False,-0.271393,-0.258967,-0.906004,64.0,67.0,59.0,63.333333,-0.108003,-0.182191,-0.141513,,,0.048052,ok,
